City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,verkhnetulomskiy,0,RU,1533738600,42,68.61,31.8,64.4,6.71
88,tuatapere,48,NZ,1533741690,100,-46.13,167.69,42.35,9.22
89,kavaratti,92,IN,1533741690,100,10.57,72.64,80.69,21.63
90,litomysl,1,US,1533739200,78,43.95,-93.19,73.4,6.93
91,iqaluit,75,CA,1533740400,81,63.75,-68.52,46.4,4.7
92,tutoia,20,BR,1533736800,62,-2.76,-42.27,89.6,13.87
93,port alfred,12,ZA,1533741623,85,-33.59,26.89,59.0,15.93
94,egvekinot,92,RU,1533741691,94,66.32,-179.17,39.56,3.4
95,baltasi,92,RU,1533741691,100,56.34,50.21,56.84,19.06
96,saldanha,0,PT,1533741692,41,41.42,-6.55,79.88,8.77
97,sola,75,NO,1533739800,88,58.89,5.65,66.2,8.05
98,boden,0,SE,1533739800,77,65.83,21.69,69.8,12.75
99,geraldton,75,CA,1533740400,68,49.72,-86.95,69.8,12.75
100,port blair,92,IN,1533741693,96,11.67,92.75,83.39,16.82
101,aklavik,90,CA,1533740400,86,68.22,-135.01,41.0,12.75
102,souillac,0,FR,1533740400,47,45.6,-0.6,80.6,2.24
103,elizabeth city,1,US,1533740340,66,36.3,-76.22,89.6,11.41
104,nizwa,76,OM,1533741693,16,22.93,57.53,99.68,2.84
105,quatre cocos,40,MU,1533736800,60,-20.21,57.76,75.2,3.36
106,la paz,75,MX,1533739440,74,24.15,-110.32,78.8,8.05
107,salinopolis,0,BR,1533741695,89,-0.61,-47.36,83.66,16.26
108,avarua,40,CK,1533740400,94,-21.21,-159.78,69.8,8.05
109,khartoum,20,SD,1533740400,32,15.59,32.54,93.2,12.75
110,tarauaca,90,BR,1533736800,88,-8.16,-70.77,77.0,3.36
111,fortuna,0,ES,1533740400,41,38.18,-1.13,93.2,13.87
112,cape town,0,ZA,1533740400,66,-33.93,18.42,55.4,16.11
113,sambava,68,MG,1533741696,100,-14.27,50.17,73.94,17.94
114,suraabad,0,AZ,1533738600,55,40.82,49.47,87.8,10.29
115,santa clarita,1,US,1533740280,50,34.39,-118.54,80.6,3.18
116,honiara,75,SB,1533740400,88,-9.43,159.96,75.2,2.62
117,edelira,92,PY,1533741697,99,-26.75,-55.27,66.2,3.96
118,kinsale,40,IE,1533740400,45,51.71,-8.52,62.6,9.17
119,kavieng,36,PG,1533741697,100,-2.57,150.8,77.0,2.39
120,khatanga,0,RU,1533741624,77,71.98,102.47,53.78,5.19
121,viedma,32,AR,1533741681,84,-40.81,-62.99,49.82,12.12
122,guerrero negro,80,MX,1533741698,67,27.97,-114.04,79.61,4.07
123,new norfolk,75,AU,1533740400,65,-42.78,147.06,46.4,9.17
124,izhma,44,RU,1533741698,71,65.01,53.91,55.13,5.97
125,pasighat,8,IN,1533741509,94,28.06,95.33,71.6,1.39
126,gigmoto,80,PH,1533741699,100,13.78,124.39,81.95,14.81
127,nadym,88,RU,1533741699,100,65.53,72.51,59.18,10.45
128,bekasi,20,ID,1533740400,78,-6.23,106.99,78.8,9.17
129,pahrump,1,US,1533739980,40,36.21,-115.98,87.8,11.41
130,te anau,8,NZ,1533741700,84,-45.41,167.72,25.79,3.18
131,shache,0,CN,1533741700,35,38.42,77.24,82.58,11.56
